clave provincinombre establecimiento                                           localidad                              tipo organización
0022JS0004    JARDIN DE INFANTES RURAL Nº4                                     COLON                                  JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0022MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JOSE MANUEL ESTRADA"        COLON                                  ESCUELA SECUNDARIA
0022MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JOSE MANUEL ESTRADA"        COLON                                  ESCUELA SECUNDARIA
0022MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "JUAN B. MARENZI"            COLON                                  ESCUELA SECUNDARIA
0022MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                              COLON                                  ESCUELA SECUNDARIA
0022MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4                              PEARSON                                ESCUELA SECUNDARIA
0022MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5                              COLON                                  ESCUELA SECUNDARIA
0022MS3031    ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                   VILLA MANUEL POM                       ESCUELA SECUNDARIA
0022MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "FORTÍN DE LAS MERCEDCOLON                                  ESCUELA TÉCNICA
0022MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "FORTÍN DE LAS MERCEDCOLON                                  ESCUELA TÉCNICA
0022MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "FORTÍN DE LAS MERCEDCOLON                                  ESCUELA TÉCNICA
0022PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "DOMINGO FAUSTINO SARMIENTO"   COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "NUESTRA SEÑORA DE LAS MERCEDESCOLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "GENERAL JOSE DE SAN MARTIN"   COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "JUAN BAUTISTA ALBERDI"        COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "HIPOLITO YRIGOYEN"            VILLA MANUEL POM                       ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "DAMIANA FERREYRA"             COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "MARTIN MIGUEL DE GÜEMES"     COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0012    ESCUELA DE EDUCACIÓN PRIMARIA Nº12 "MANUEL BELGRANO"             PEARSON                                ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "EJERCITO DE LOS ANDES"       SARASA                                 ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0014    ESCUELA DE EDUCACIÓN PRIMARIA Nº14 "REMEDIOS ESCALADA DE SAN MARTCOLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "CIRIACO MOREA"               COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0022PP0022    ESCUELA DE EDUCACIÓN PRIMARIA Nº22 "JUAN BAUTISTA MARENZI"       COLON                                  ESCUELA DE EDUCACIÓN PRIMARIA
0023DC0701    CENTRO DE ADULTOS Nº701                                          CORONEL DORREGO                        CENTRO DE ADULTOS (EGBA)
0023DC0703    CENTRO DE ADULTOS Nº703                                          ORIENTE                                CENTRO DE ADULTOS (EGBA)
0023EE0501    ESCUELA ESPECIAL Nº501 "ALVARO RICARDO FUERTES"                  CORONEL DORREGO                        ESCUELA DE EDUCACIÓN ESPECIAL
0023EE0501    ESCUELA ESPECIAL Nº501 "ALVARO RICARDO FUERTES"                  CORONEL DORREGO                        ESCUELA DE EDUCACIÓN ESPECIAL
0023EE0501    ESCUELA ESPECIAL Nº501 "ALVARO RICARDO FUERTES"                  CORONEL DORREGO                        ESCUELA DE EDUCACIÓN ESPECIAL
0023EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL DORREGO                        ESCUELA DE EDUCACIÓN ESPECIAL
0023EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL DORREGO                        ESCUELA DE EDUCACIÓN ESPECIAL
0023EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL DORREGO                        ESCUELA DE EDUCACIÓN ESPECIAL
0023IS0062    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº62                     CORONEL DORREGO                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0023IS3621    ANEXO A I.S.F.D. Y T. Nº62                                       ORIENTE                                INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0023JI0901    JARDIN DE INFANTES Nº901 "PAULA ALBARRACIN"                      CORONEL DORREGO                        JARDÍN DE INFANTES
0023JI0902    JARDIN DE INFANTES Nº902 "CONSTANCIO C. VIGIL"                   EL PERDIDO                             JARDÍN DE INFANTES
0023JI0903    JARDIN DE INFANTES Nº903 "COMANDANTE ESPORA"                     ORIENTE                                JARDÍN DE INFANTES
0023JI0904    JARDIN DE INFANTES Nº904 "MERCEDITAS DE SAN MARTIN"              CORONEL DORREGO                        JARDÍN DE INFANTES
0023JI0905    JARDIN DE INFANTES Nº905 "ROSARIO VERA PEÑALOZA"                 APARICIO                               JARDÍN DE INFANTES
0023JI0906    JARDIN DE INFANTES Nº906 "DR. JUAN CARLOS CABELLO"               CORONEL DORREGO                        JARDÍN DE INFANTES
0023JI0907    JARDIN DE INFANTES Nº907 "EMILIA FERRETI"                        CORONEL DORREGO                        JARDÍN DE INFANTES
0023JS0001    JARDIN DE INFANTES RURAL Nº1                                     CORONEL DORREGO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023JS0003    JARDIN DE INFANTES RURAL Nº3                                     CORONEL DORREGO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023JS0004    JARDIN DE INFANTES RURAL Nº4                                     CORONEL DORREGO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023JS0005    JARDIN DE INFANTES RURAL Nº5                                     BALNEARIO MARISOL                      JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023JS0006    JARDIN DE INFANTES RURAL Nº6                                     CALVO                                  JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023JS0007    JARDIN DE INFANTES RURAL Nº7                                     CORONEL DORREGO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023JS0008    JARDIN DE INFANTES RURAL Nº8                                     CORONEL DORREGO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0023MA0001    ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1                      CORONEL DORREGO                        ESCUELA AGRARIA
0023MC0035    CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº35                   APARICIO                               CENTRO EDUCATIVO DE LA PRODUCCIÓN TOTAL (CEPT)
0023MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                              ORIENTE                                ESCUELA SECUNDARIA
0023MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                              ORIENTE                                ESCUELA SECUNDARIA
0023MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2                              CORONEL DORREGO                        ESCUELA SECUNDARIA
0023MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2                              CORONEL DORREGO                        ESCUELA SECUNDARIA
0023MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                              EL PERDIDO                             ESCUELA SECUNDARIA
0023MS2010    EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1               APARICIO                               ESCUELA SECUNDARIA
0023MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "ALMIRANTE GUILLERMO CORONEL DORREGO                        ESCUELA TÉCNICA
0023MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "ALMIRANTE GUILLERMO CORONEL DORREGO                        ESCUELA TÉCNICA
0023PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "BERNARDINO RIVADAVIA"         CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "HIPOLITO YRIGOYEN"            APARICIO                               ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "NUESTRA SEÑORA DE LUJAN"      CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "GENERAL JOSE DE SAN MARTIN"   EL PERDIDO                             ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "JOSE MANUEL ESTRADA"          IRENE                                  ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "LA AURORA"                    CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0007    ESCUELA DE EDUCACIÓN PRIMARIA Nº7 "DOMINGO FAUSTINO SARMIENTO"   CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0008    ESCUELA DE EDUCACIÓN PRIMARIA Nº8 "NUESTRA SEÑORA DE LA MERCED"  ORIENTE                                ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "COMANDANTE LUIS PIEDRABUENA" CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "ANTARTIDA ARGENTINA"         CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "MARIANO MORENO"              FARO                                   ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "VICENTE LOPEZ"               CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "NARCISO LAPRIDA"             CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0020    ESCUELA DE EDUCACIÓN PRIMARIA Nº20 "JUSTO JOSE DE URQUIZA"       CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0021    ESCUELA DE EDUCACIÓN PRIMARIA Nº21 "CORONEL DORREGO"             CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0022    ESCUELA DE EDUCACIÓN PRIMARIA Nº22 "REMEDIOS ESCALADA DE SAN MARTCORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0025    ESCUELA DE EDUCACIÓN PRIMARIA Nº25 "JUAN MARTIN DE PUEYRREDON"   CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0030    ESCUELA DE EDUCACIÓN PRIMARIA Nº30 "GUILLERMO BROWN"             CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0032    ESCUELA DE EDUCACIÓN PRIMARIA Nº32 "PEDRO HAUGAARD"              CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0034    ESCUELA DE EDUCACIÓN PRIMARIA Nº34 "JOSE HERNANDEZ"              CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0023PP0035    ESCUELA DE EDUCACIÓN PRIMARIA Nº35                               CORONEL DORREGO                        ESCUELA DE EDUCACIÓN PRIMARIA
0024DC0701    CENTRO DE ADULTOS Nº701 "SAN FRANCISCO DEL MONTE"                CORONEL PRINGLES                       CENTRO DE ADULTOS (EGBA)
0024DC0702    CENTRO DE ADULTOS Nº702                                          INDIO RICO                             CENTRO DE ADULTOS (EGBA)
0024DM0451    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº451                          CORONEL PRINGLES                       CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0024DM2511    EXTENSIÓN Nº1 DEL CENTRO EDUCATIVO NIVEL SECUNDARIO Nº451        INDIO RICO                             CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0024EE0501    ESCUELA ESPECIAL Nº501 "GRANADEROS DE SAN MARTIN"                CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0501    ESCUELA ESPECIAL Nº501 "GRANADEROS DE SAN MARTIN"                CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0501    ESCUELA ESPECIAL Nº501 "GRANADEROS DE SAN MARTIN"                CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0501    ESCUELA ESPECIAL Nº501 "GRANADEROS DE SAN MARTIN"                CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024EE0502    ESCUELA ESPECIAL Nº502                                           CORONEL PRINGLES                       ESCUELA DE EDUCACIÓN ESPECIAL
0024ET0001    C.E.A.T. Nº1 "MARIA CECILIA PERRIN"                              CORONEL PRINGLES                       CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0024IS0158    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº158                    CORONEL PRINGLES                       INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0024JI0901    JARDIN DE INFANTES Nº901 "TAMBOR DE TACUARI"                     CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0902    JARDIN DE INFANTES Nº902 "MERCEDITAS DE SAN MARTIN"              CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0903    JARDIN DE INFANTES Nº903 "JOAQUIN V. GONZALEZ"                   INDIO RICO                             JARDÍN DE INFANTES
0024JI0904    JARDIN DE INFANTES Nº904 "ROSARIO VERA PEÑALOZA"                 CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0905    JARDIN DE INFANTES Nº905 "MARIQUITA SANCHEZ DE THOMPSOM"         CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0906    JARDIN DE INFANTES Nº906                                         CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0908    JARDIN DE INFANTES Nº908 "FERMINA NICASIA PRINGLES"              CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0909    JARDIN DE INFANTES Nº909 "MARTA SALOTTI"                         CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JI0910    JARDIN DE INFANTES Nº910 "JOSE MANUEL ESTRADA"                   CORONEL PRINGLES                       JARDÍN DE INFANTES
0024JS0001    JARDIN DE INFANTES RURAL Nº1                                     LA VIRGINIA                            JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0002    JARDIN DE INFANTES RURAL Nº2                                     CORONEL PRINGLES                       JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0003    JARDIN DE INFANTES RURAL Nº3                                     CORONEL PRINGLES                       JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0004    JARDIN DE INFANTES RURAL Nº4                                     CORONEL PRINGLES                       JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0005    JARDIN DE INFANTES RURAL Nº5                                     CORONEL PRINGLES                       JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0006    JARDIN DE INFANTES RURAL Nº6                                     CHELFORO                               JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0007    JARDIN DE INFANTES RURAL Nº7                                     LA AMALIA                              JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0008    JARDIN DE INFANTES RURAL Nº8                                     CORONEL PRINGLES                       JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0009    JARDIN DE INFANTES RURAL Nº9                                     CORONEL PRINGLES                       JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024JS0010    JARDIN DE INFANTES RURAL Nº10                                    CORONEL FALCON                         JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0024MC0003    CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº3                    DON ALFREDO                            CENTRO EDUCATIVO DE LA PRODUCCIÓN TOTAL (CEPT)
0024MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JOSE M ESTRADA"             CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JOSE M ESTRADA"             CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JOSE M ESTRADA"             CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2                              CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 "JUAN PASCUAL PRINGLES"      CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4                              CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5                              CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MS2050    EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5               CORONEL PRINGLES                       ESCUELA SECUNDARIA
0024MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1                      CORONEL PRINGLES                       ESCUELA TÉCNICA
